Movie,Genre,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Distributor
Batman Forever,Drama,259311,263611,263801,279256,283426,590476,300861,Warner Bros.
Independence Day,Adventure,14506,18876,8641,5236,5066,2286,1316,20th Century Fox
Men in Black,Adventure,2251,2286,2286,3756,4451,4956,2671,Sony Pictures
Titanic,Adventure,81641,86581,78091,92076,94381,187256,111241,Paramount Pictures
Star Wars Ep. I: The Phantom Menace,Adventure,1506,1501,1501,1516,1501,1746,1496,20th Century Fox
How the Grinch Stole Christmas,Adventure,1296,1296,1296,1291,1296,1346,1296,Universal
Harry Potter and the Sorcerer’s Stone,Adventure,7586,7081,8006,12296,1246,1246,1246,Warner Bros.
Spider-Man,Adventure,1246,1246,1246,1246,1246,1246,1246,Sony Pictures
Finding Nemo,Adventure,544951,576636,564851,516416,558496,1139066,606996,Walt Disney
Shrek 2,Adventure,1271,1271,1271,1271,1271,1276,1246,Dreamworks SKG
Star Wars Ep. III: Revenge of the Sith,Action,1246,1246,1246,1246,1246,1246,1246,20th Century Fox
Pirates of the Caribbean: Dead Man’s Chest,Action,5746,5816,5836,5671,5841,10066,5821,Walt Disney
Spider-Man 3,Adventure,1246,1246,1246,1251,1256,1396,1256,Sony Pictures
The Dark Knight,Adventure,1246,1246,1246,1246,1246,1246,1291,Warner Bros.
Transformers: Revenge of the Fallen,Action,908851,953741,924366,907576,945771,1928656,1023031,Paramount Pictures
Toy Story 3,Action,1246,1246,1246,1246,1246,1246,1246,Walt Disney
